name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Ela Quer Sentar;0.764;0.618;8;-6.196;1;0.0809;0.00743;0.0181;0.0784;0.3;86.576;audio_features;46Of9JeH5nU7fA9vFH4Xl4;spotify:track:46Of9JeH5nU7fA9vFH4Xl4;https://api.spotify.com/v1/tracks/46Of9JeH5nU7fA9vFH4Xl4;https://api.spotify.com/v1/audio-analysis/46Of9JeH5nU7fA9vFH4Xl4;160845;5
Señorita;0.759;0.54;9;-6.039;0;0.0287;0.037;0.0;0.0945;0.75;116.947;audio_features;0TK2YIli7K1leLovkQiNik;spotify:track:0TK2YIli7K1leLovkQiNik;https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik;https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik;190960;4
Leão;0.853;0.476;10;-8.452;1;0.08;0.736;0.000107;0.577;0.73;117.923;audio_features;18RlyFK3vglIzsJWOVvQpv;spotify:track:18RlyFK3vglIzsJWOVvQpv;https://api.spotify.com/v1/tracks/18RlyFK3vglIzsJWOVvQpv;https://api.spotify.com/v1/audio-analysis/18RlyFK3vglIzsJWOVvQpv;230427;4
Stitches;0.746;0.754;1;-6.684;1;0.0676;0.0152;0.0;0.0486;0.746;149.882;audio_features;3zkWCteF82vJwv0hRLba76;spotify:track:3zkWCteF82vJwv0hRLba76;https://api.spotify.com/v1/tracks/3zkWCteF82vJwv0hRLba76;https://api.spotify.com/v1/audio-analysis/3zkWCteF82vJwv0hRLba76;206880;4
Alfred - Interlude;0.429;0.231;5;-20.43;1;0.402;0.878;0.0;0.279;0.914;74.545;audio_features;4EmunTy7kNBYQivOa8F6b8;spotify:track:4EmunTy7kNBYQivOa8F6b8;https://api.spotify.com/v1/tracks/4EmunTy7kNBYQivOa8F6b8;https://api.spotify.com/v1/audio-analysis/4EmunTy7kNBYQivOa8F6b8;30133;5
In Your Arms;0.404;0.806;2;-4.75;1;0.0496;0.198;0.0;0.114;0.112;148.036;audio_features;70YPzqSEwJvAIQ6nMs1cjY;spotify:track:70YPzqSEwJvAIQ6nMs1cjY;https://api.spotify.com/v1/tracks/70YPzqSEwJvAIQ6nMs1cjY;https://api.spotify.com/v1/audio-analysis/70YPzqSEwJvAIQ6nMs1cjY;220730;4
Cruel World;0.445;0.768;1;-6.872;0;0.0526;0.137;0.0;0.191;0.445;93.874;audio_features;0xXpndmApb5gC8I2cPh4Sx;spotify:track:0xXpndmApb5gC8I2cPh4Sx;https://api.spotify.com/v1/tracks/0xXpndmApb5gC8I2cPh4Sx;https://api.spotify.com/v1/audio-analysis/0xXpndmApb5gC8I2cPh4Sx;206533;4
The Only;0.452;0.563;4;-6.607;1;0.0272;0.144;0.0;0.143;0.209;137.715;audio_features;7JIuqL4ZqkpfGKQhYlrirs;spotify:track:7JIuqL4ZqkpfGKQhYlrirs;https://api.spotify.com/v1/tracks/7JIuqL4ZqkpfGKQhYlrirs;https://api.spotify.com/v1/audio-analysis/7JIuqL4ZqkpfGKQhYlrirs;267653;3
Mo Bounce;0.867;0.773;1;-5.429;0;0.275;0.0109;0.0;0.0913;0.734;105.933;audio_features;57nIrfsmlBYZO5fs4gbo0f;spotify:track:57nIrfsmlBYZO5fs4gbo0f;https://api.spotify.com/v1/tracks/57nIrfsmlBYZO5fs4gbo0f;https://api.spotify.com/v1/audio-analysis/57nIrfsmlBYZO5fs4gbo0f;222427;4
Ciao Adios;0.694;0.853;7;-3.986;1;0.0934;0.136;0.0;0.322;0.501;106.098;audio_features;01BC4Xj5tfsfV8DLDrma7q;spotify:track:01BC4Xj5tfsfV8DLDrma7q;https://api.spotify.com/v1/tracks/01BC4Xj5tfsfV8DLDrma7q;https://api.spotify.com/v1/audio-analysis/01BC4Xj5tfsfV8DLDrma7q;199773;4
