name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Hymn for the Weekend;0.49;0.743;0;-5.155;0;0.0409;0.255;7.21e-06;0.3;0.363;89.974;audio_features;3RiPr603aXAoi4GHyXx0uy;spotify:track:3RiPr603aXAoi4GHyXx0uy;https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy;https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy;258827;4
Glamorous;0.811;0.757;0;-6.447;1;0.23;0.298;0.0;0.103;0.565;130.993;audio_features;4N0tDOF2bo9JEpSqLNlpjq;spotify:track:4N0tDOF2bo9JEpSqLNlpjq;https://api.spotify.com/v1/tracks/4N0tDOF2bo9JEpSqLNlpjq;https://api.spotify.com/v1/audio-analysis/4N0tDOF2bo9JEpSqLNlpjq;246600;4
Chama Sua Amiga de Nojenta;0.627;0.517;9;-2.608;1;0.381;0.515;0.0;0.0627;0.638;86.63;audio_features;0rg3VHdEBF3MtMqoysEUd8;spotify:track:0rg3VHdEBF3MtMqoysEUd8;https://api.spotify.com/v1/tracks/0rg3VHdEBF3MtMqoysEUd8;https://api.spotify.com/v1/audio-analysis/0rg3VHdEBF3MtMqoysEUd8;197120;5
No Role Modelz;0.696;0.521;10;-8.465;0;0.332;0.302;0.0;0.0565;0.458;100.0;audio_features;62vpWI1CHwFy7tMIcSStl8;spotify:track:62vpWI1CHwFy7tMIcSStl8;https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8;https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8;292987;4
Juju on That Beat (TZ Anthem);0.807;0.887;1;-3.892;1;0.275;0.00381;0.0;0.391;0.78;160.517;audio_features;1lItf5ZXJc1by9SbPeljFd;spotify:track:1lItf5ZXJc1by9SbPeljFd;https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd;https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd;144244;4
Talking Body;0.736;0.761;4;-5.449;0;0.0338;0.0966;0.0;0.0823;0.114;119.999;audio_features;7cgu4JBW3hq1GwTM1ilkKQ;spotify:track:7cgu4JBW3hq1GwTM1ilkKQ;https://api.spotify.com/v1/tracks/7cgu4JBW3hq1GwTM1ilkKQ;https://api.spotify.com/v1/audio-analysis/7cgu4JBW3hq1GwTM1ilkKQ;238427;4
Hasta Luego;0.75;0.551;2;-13.248;1;0.353;0.198;0.0;0.0775;0.747;106.08;audio_features;3nargvhcm9gYrkoqPpeERJ;spotify:track:3nargvhcm9gYrkoqPpeERJ;https://api.spotify.com/v1/tracks/3nargvhcm9gYrkoqPpeERJ;https://api.spotify.com/v1/audio-analysis/3nargvhcm9gYrkoqPpeERJ;182335;4
Say Ok;0.469;0.689;9;-7.017;0;0.0475;0.00607;0.00119;0.114;0.531;126.505;audio_features;73qbBlEAcm2HfnAaSnP1II;spotify:track:73qbBlEAcm2HfnAaSnP1II;https://api.spotify.com/v1/tracks/73qbBlEAcm2HfnAaSnP1II;https://api.spotify.com/v1/audio-analysis/73qbBlEAcm2HfnAaSnP1II;221867;3
Pá em Todo Mundo;0.891;0.877;11;-6.997;0;0.239;0.667;5.53e-05;0.0892;0.688;149.926;audio_features;1jXXxRVjETkMac5i7Og1ck;spotify:track:1jXXxRVjETkMac5i7Og1ck;https://api.spotify.com/v1/tracks/1jXXxRVjETkMac5i7Og1ck;https://api.spotify.com/v1/audio-analysis/1jXXxRVjETkMac5i7Og1ck;97530;4
B.I.D;0.767;0.689;10;-5.573;0;0.0852;0.103;0.0;0.0786;0.555;154.957;audio_features;6dnrppGRbt8fie18Lcd9Dd;spotify:track:6dnrppGRbt8fie18Lcd9Dd;https://api.spotify.com/v1/tracks/6dnrppGRbt8fie18Lcd9Dd;https://api.spotify.com/v1/audio-analysis/6dnrppGRbt8fie18Lcd9Dd;164133;4
